|  POST  |  /admin/ents/(ent)/appslib/tmpDefinitions/(tmpDefinition)/actions/repoUninstall  |    |    |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/datastores  |    |   datastores (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/(m)/datastores//action/refresh  |    |    |
|  GET  |  /cloud/vdcs/(vdc)/privatenws/(privatenw)/ips  |    |   privateips (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/privatenws/(privatenw)/ips  |   privateip (*b)  (*r)   |   privateip (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/privatenws/(privatenw)/ips/(ip)  |    |   privateip (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/appslib/tmpDefinitions  |    |   templatedefinitions (*b)  (*r)   |
|  POST  |  /admin/ents/(ent)/appslib/tmpDefinitions  |   templatedefinition (*b)  (*r)   |   templatedefinition (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/limits/(limit)/externalnws/(externalnw)  |    |   vlan (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/limits/(limit)/externalnws/(externalnw)/ips  |    |   externalips (*b)  unmanagedips (*b)  (*r)  (*r)   |
|  GET  |  /admin/ents/(ent)/limits/(limit)/externalnws/(externalnw)/ips/(ips)  |    |   externalip (*b)  unmanagedip (*b)  (*r)  (*r)   |
|  PUT  |  /admin/ents/(ent)/limits/(limit)/externalnws/(externalnw)/ips/(ips)  |   unmanagedip (*b)  (*r)   |   unmanagedip (*b)  (*r)   |
|  PUT  |  /admin/ents/(ent)/limits/(limit)/externalnws/(externalnw)/action/default  |    |    |
|  GET  |  /admin/ents/(ent)/limits/(limit)/externalnws/(externalnw)/config  |    |   networkconfiguration (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/limits/(limit)/externalnws/(externalnw)/config/(config)  |    |   networkconfiguration (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)  |    |   virtualappliance (*b)  (*r)   |
|  DELETE  |  /cloud/vdcs/(vdc)/vapps/(vapp)  |    |    |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)  |   virtualappliance (*b)  (*r)   |   virtualappliance (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/action/price  |    |   text/plaintext/plain  |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/state  |    |   virtualappliancestate (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/action/deploy  |   virtualmachinetask (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/action/deploy  |   virtualmachinetask (*b)   |   acceptedrequest (*b)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/action/deploy  |    |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/action/undeploy  |   virtualmachinetask (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/limits/(limit)/externalnws  |    |   vlans (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps  |    |   virtualappliances (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps  |   virtualappliance (*b)  (*r)   |   virtualappliance (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps  |   cp-virtualappliance (*b)  (*r)   |   virtualappliance (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps  |   mv-virtualappliance (*b)  (*r)   |   virtualappliance (*b)  (*r)   |
|  PUT  |  /admin/dcs/(dc)/storage/devices/(device)/pools/(pool)  |   storagepool (*b)  (*r)   |   storagepool (*b)  (*r)   |
|  PUT  |  /admin/dcs/(dc)/storage/devices/(device)/pools/(pool)  |   storagepool (*b)   |   storagepool (*b)   |
|  DELETE  |  /admin/dcs/(dc)/storage/devices/(device)/pools/(pool)  |    |    |
|  GET  |  /admin/dcs/(dc)/storage/devices/(device)/pools/(pool)  |    |   storagepool (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/storage/devices/(device)/pools/(pool)/action/volumes  |    |   volumes (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/storage/devices/(device)/pools/(pool)/action/volumes  |    |   iscsivolumes (*b)   |
|  GET  |  /admin/dcs/(dc)/storage/devices/(device)/pools/(pool)/action/volumes  |    |   volumeswithvirtualmachine (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/storage/devices/(device)/pools/(pool)/action/volumes  |    |   iscsivolumeswithvirtualmachine (*b)   |
|  DELETE  |  /cloud/vdcs/(vdc)/privatenws/(privatenw)  |    |    |
|  GET  |  /cloud/vdcs/(vdc)/privatenws/(privatenw)  |    |   vlan (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/privatenws/(privatenw)  |   vlan (*b)  (*r)   |   vlan (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/privatenws/(privatenw)/config  |    |   networkconfiguration (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/privatenws/(privatenw)/config/(config)  |    |   networkconfiguration (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)  |    |   datacenterrepository (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)  |    |   datacenterrepository (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)//tasks  |    |   tasks (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)//tasks/(id)  |    |   task (*b)  (*r)   |
|  PUT  |  /admin/ents/(ent)/dcrepos/(dcrepo)//actions/refresh  |    |   acceptedrequest (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/racks/(rack)/ms/action/bookable  |    |   machines (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/storage/devices/(device)/pools  |    |   storagepools (*b)  (*r)   |
|  GET  |  /admin/dcs/(dc)/storage/devices/(device)/pools  |    |   storagepoolswithtier (*b)  (*r)   |
