|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)/action/volumes  |    |   volumes (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)/action/nics  |    |   nics (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)/action/disk  |    |   harddisks (*b)  (*r)   |
|  POST  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)/action/capture  |   links (*b)  (*r)   |    |
|  POST  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)/action/capture  |   links (*b)   |    |
|  POST  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)/action/sendmail  |   mail (*b)  (*r)   |    |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines/(virtualmachine)/config/rdpaccess  |    |   text/plaintext/plain  |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/layers/(layer)  |    |   layer (*b)  (*r)   |
|  DELETE  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/layers/(layer)  |    |    |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/layers/(layer)  |   layer (*b)  (*r)   |   layer (*b)  (*r)   |
|  DELETE  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |    |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachines (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachines (*b)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachinesflat (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachineswithnode (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachineswithnode (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachineswithnode (*b)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachineswithnodeextended (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachineswithnodeextended (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/virtualmachines  |    |   virtualmachineswithnodeextended (*b)   |
|  GET  |  /admin/enterprises/(enterprise)/appslib/templateDefinitionLists/(templateDefinitionList)  |    |   templatedefinitionlist (*b)  (*r)   |
|  PUT  |  /admin/enterprises/(enterprise)/appslib/templateDefinitionLists/(templateDefinitionList)  |   templatedefinitionlist (*b)  (*r)   |   templatedefinitionlist (*b)  (*r)   |
|  PUT  |  /admin/enterprises/(enterprise)/appslib/templateDefinitionLists/(templateDefinitionList)  |    |   templatedefinitionlist (*b)  (*r)   |
|  DELETE  |  /admin/enterprises/(enterprise)/appslib/templateDefinitionLists/(templateDefinitionList)  |    |    |
|  GET  |  /admin/enterprises/(enterprise)/appslib/templateDefinitionLists/(templateDefinitionList)/actions/repositoryStatus  |    |   templatestates (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/layers  |    |   layers (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/layers  |    |    |
|  POST  |  /admin/enterprises/(enterprise)/appslib/templateDefinitionLists  |   text/plaintext/plain  |   templatedefinitionlist (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/appslib/templateDefinitionLists  |    |   templatedefinitionlists (*b)  (*r)   |
|  POST  |  /admin/enterprises/(enterprise)/appslib/templateDefinitionLists  |   templatedefinitionlist (*b)  (*r)   |   templatedefinitionlist (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/datastores/(datastore)  |    |   datastore (*b)  (*r)   |
|  PUT  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/datastores/(datastore)  |   datastore (*b)  (*r)   |   datastore (*b)  (*r)   |
