Name	ServerURL	CloudURL	ServerID	CloudID
Retrieve accounting data	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368945/Retrieve+accounting+data	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368945/Retrieve+accounting+data	311368945	311368945
Retrieve users of all enterprises via API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374220/Retrieve+users+of+all+enterprises+via+API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374220/Retrieve+users+of+all+enterprises+via+API	311374220	311374220
Run the PIM migrator	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374421/Run+the+PIM+migrator	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374421/Run+the+PIM+migrator	311374421	311374421
Run the PIM planner	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374368/Run+the+PIM+planner	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374368/Run+the+PIM+planner	311374368	311374368
SAML Integration for secure SSO	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376209/SAML+Integration+for+secure+SSO	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376209/SAML+Integration+for+secure+SSO	311376209	311376209
SAML integration	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376236/SAML+integration	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376236/SAML+integration	311376236	311376236
SSO for Abiquo Reporting	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368137/SSO+for+Abiquo+Reporting	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368137/SSO+for+Abiquo+Reporting	311368137	311368137
Sample configuration for testing IPv6	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375382/Sample+configuration+for+testing+IPv6	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375382/Sample+configuration+for+testing+IPv6	311375382	311375382
Sample theme image reference	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374740/Sample+theme+image+reference	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374740/Sample+theme+image+reference	311374740	311374740
Save license costs with VMware DRS rules	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367042/Save+license+costs+with+VMware+DRS+rules	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367042/Save+license+costs+with+VMware+DRS+rules	311367042	311367042
Schedule reports	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374843/Schedule+reports	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374843/Schedule+reports	311374843	311374843
Scheduler messages table	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371347/Scheduler+messages+table	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371347/Scheduler+messages+table	311371347	311371347
Scope concepts	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375889/Scope+concepts	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375889/Scope+concepts	311375889	311375889
Scope concepts table	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311378912/Scope+concepts+table	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311378912/Scope+concepts+table	311378912	311378912
Scopes FAQ	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311363624/Scopes+FAQ	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311363624/Scopes+FAQ	311363624	311363624
